/usr/local/Cellar/python/2.7.12/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/seanstappas1/PycharmProjects/music-classification/data_loader.py
k = 4
Indexing genre: classical
Indexing genre: country
Indexing genre: edm_dance
Indexing genre: jazz
Indexing genre: kids
Indexing genre: latin
Indexing genre: metal
Indexing genre: pop
Indexing genre: rnb
Indexing genre: rock
Expected genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: jazz
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Expected genre: country
Predicted genre: jazz
Predicted genre: metal
Predicted genre: latin
Predicted genre: classical
Predicted genre: country
Predicted genre: metal
Predicted genre: country
Predicted genre: country
Predicted genre: country
Predicted genre: country
Predicted genre: country
Predicted genre: country
Predicted genre: country
Predicted genre: country
Predicted genre: metal
Predicted genre: country
Predicted genre: country
Predicted genre: latin
Predicted genre: metal
Predicted genre: country
Predicted genre: metal
Predicted genre: latin
Predicted genre: rnb
Predicted genre: country
Predicted genre: metal
Predicted genre: rnb
Predicted genre: country
Predicted genre: country
Predicted genre: latin
Predicted genre: edm_dance
Predicted genre: country
Predicted genre: metal
Predicted genre: metal
Predicted genre: edm_dance
Predicted genre: country
Predicted genre: metal
Predicted genre: metal
Predicted genre: metal
Predicted genre: country
Predicted genre: country
Predicted genre: country
Predicted genre: country
Predicted genre: country
Predicted genre: country
Predicted genre: country
Predicted genre: latin
Predicted genre: country
Predicted genre: country
Predicted genre: country
Predicted genre: metal
Predicted genre: country
Predicted genre: metal
Predicted genre: jazz
Predicted genre: country
Predicted genre: latin
Predicted genre: country
Predicted genre: metal
Predicted genre: country
Predicted genre: country
Predicted genre: country
Predicted genre: country
Predicted genre: latin
Predicted genre: metal
Predicted genre: country
Predicted genre: classical
Predicted genre: country
Predicted genre: jazz
Predicted genre: country
Predicted genre: rock
Predicted genre: metal
Predicted genre: metal
Predicted genre: country
Predicted genre: country
Predicted genre: country
Predicted genre: country
Predicted genre: metal
Predicted genre: metal
Predicted genre: metal
Expected genre: edm_dance
Predicted genre: latin
Predicted genre: edm_dance
Predicted genre: latin
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: latin
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: pop
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: latin
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: latin
Predicted genre: classical
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: metal
Predicted genre: edm_dance
Predicted genre: latin
Predicted genre: edm_dance
Predicted genre: jazz
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: jazz
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: jazz
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: latin
Predicted genre: edm_dance
Predicted genre: classical
Predicted genre: edm_dance
Predicted genre: metal
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: jazz
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: metal
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: edm_dance
Predicted genre: rnb
Predicted genre: edm_dance
Predicted genre: edm_dance
Expected genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: classical
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: classical
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: classical
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: classical
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: metal
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: classical
Predicted genre: jazz
Predicted genre: rnb
Predicted genre: classical
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: metal
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: metal
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Predicted genre: jazz
Expected genre: kids
Predicted genre: metal
Predicted genre: classical
Predicted genre: kids
Predicted genre: latin
Predicted genre: jazz
Predicted genre: classical
Predicted genre: classical
Predicted genre: classical
Predicted genre: kids
Predicted genre: classical
Predicted genre: edm_dance
Predicted genre: kids
Predicted genre: classical
Predicted genre: latin
Predicted genre: jazz
Predicted genre: kids
Predicted genre: kids
Predicted genre: kids
Predicted genre: kids
Predicted genre: kids
Predicted genre: jazz
Predicted genre: edm_dance
Predicted genre: kids
Predicted genre: kids
Predicted genre: latin
Predicted genre: latin
Predicted genre: kids
Predicted genre: latin
Predicted genre: classical
Predicted genre: latin
Predicted genre: kids
Predicted genre: kids
Predicted genre: classical
Predicted genre: kids
Predicted genre: edm_dance
Predicted genre: kids
Predicted genre: metal
Predicted genre: metal
Predicted genre: classical
Predicted genre: latin
Predicted genre: latin
Predicted genre: kids
Predicted genre: latin
Predicted genre: kids
Predicted genre: kids
Predicted genre: classical
Predicted genre: metal
Predicted genre: kids
Predicted genre: kids
Predicted genre: classical
Predicted genre: latin
Predicted genre: latin
Predicted genre: classical
Predicted genre: metal
Predicted genre: jazz
Predicted genre: classical
Predicted genre: metal
Predicted genre: metal
Predicted genre: edm_dance
Predicted genre: kids
Predicted genre: country
Predicted genre: kids
Predicted genre: edm_dance
Predicted genre: classical
Predicted genre: classical
Predicted genre: kids
Predicted genre: classical
Predicted genre: metal
Predicted genre: latin
Predicted genre: classical
Predicted genre: latin
Predicted genre: classical
Predicted genre: latin
Predicted genre: kids
Predicted genre: kids
Predicted genre: kids
Predicted genre: latin
Predicted genre: latin
Predicted genre: country
Expected genre: latin
Predicted genre: latin
Predicted genre: latin
Predicted genre: latin
Predicted genre: latin
Predicted genre: latin
Predicted genre: latin
Predicted genre: latin
Predicted genre: latin
Predicted genre: latin
Predicted genre: latin
Predicted genre: edm_dance
Predicted genre: country
Predicted genre: latin
Predicted genre: latin
Predicted genre: latin
Predicted genre: latin
Predicted genre: latin
Predicted genre: latin
